Distance,size pixel x,size pixel y
20,21.967720572404037,20.63188362121582
21,21.141451137272394,20.182838439941406
22,20.012368029496802,18.939260482788086
23,19.150664562315455,18.366559982299805
24,18.32713450033834,17.729001998901367
25,17.564305583323083,17.16832160949707
26,16.827750619002217,16.219297409057617
27,16.155866487758367,15.75173568725586
28,15.70271649698573,15.21108627319336
29,15.188137264702265,14.764225006103516
30,14.700093907634106,14.310131072998047
31,14.30419921875,13.962715148925781
32,13.764867106760581,13.484617233276367
33,13.377281849778544,13.043100357055664
34,12.991755928580217,12.760028839111328
35,12.576414093257874,12.377613067626953
36,12.147300900436763,12.023134231567383
37,11.94196806179257,11.66323471069336
38,11.62190595011073,11.326200485229492
39,11.245297409418061,11.123876571655273
40,11.019503375676674,10.967178344726562
